,name,year,revenue,employee,sector,job_title,location,salary_est,age,min_salary,max_salary,avg_salary
450,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),Remote,$57k - $90k ,19,57,90,73.5
452,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", TX,$170k - $210k ,6,170,210,190.0
453,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, NY,$80k - $115k ,106,80,115,97.5
454,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, CA,$121k - $170k ,17,121,170,145.5
455,Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science), OH,$103k - $151k ,205,103,151,127.0
456,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, CA,$84k - $113k ,98,84,113,98.5
457,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics",Remote,$72k - $122k ,86,72,122,97.0
458,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", CA,$176k - $255k ,24,176,255,215.5
459,HERSHEY MX,1894,$5 to $10 billion (USD),10000+ Employees,Manufacturing,Data Science Co-Op (Fall 2023), CA,$58k - $95k ,129,58,95,76.5
460,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights",Remote,$40k - $160k ,141,40,160,100.0
461,Abbott Laboratories,1888,$10+ billion (USD),10000+ Employees,Healthcare,"Director, Data Science & Advanced Analytics", CA,$136k - $272k ,135,136,272,204.0
462,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", CA,$113k - $169k ,7,113,169,141.0
463,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, CA,$90k - $165k ,173,90,165,127.5
464,TikTok,2016,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,"Machine Learning Engineer, Risk Data Mining - USDS", TX,$126k - $305k ,7,126,305,215.5
465,Roku,2002,$500 million to $1 billion (USD),1001 to 5000 Employees,Information Technology,"Sr. Manager, Data Science", CA,$292k - $600k ,21,292,600,446.0
466,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", NY,$99k - $126k ,10,99,126,112.5
467,DraftKings,2012,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,SENIOR DATA SCIENCE ENGINEER (ECONOMIST),Remote,$99k - $141k ,11,99,141,120.0
468,Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Senior Data Engineer, NC,$103k - $149k ,8,103,149,126.0
469,NXP Semiconductors,2006,$5 to $10 billion (USD),10000+ Employees,Manufacturing,Global Data Science CoE Project Manager, CA,$96k - $136k ,17,96,136,116.0
470,Regions,1971,$5 to $10 billion (USD),10000+ Employees,Financial Services,Data Scientist - (REMOTE OPPORTUNITY), MA,$38k - $58k ,52,38,58,48.0
471,Smith & Associates,1984,$1 to $5 billion (USD),501 to 1000 Employees,Information Technology,Junior AI/ML Engineer,Remote,$43k - $64k ,39,43,64,53.5
472,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
473,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),Remote,$57k - $90k ,19,57,90,73.5
474,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, MA,$83k - $117k ,19,83,117,100.0
475,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, NJ,$121k - $170k ,17,121,170,145.5
476,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics,Remote,$100k - $135k ,47,100,135,117.5
477,Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack", CA,$176k - $255k ,24,176,255,215.5
478,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant,Remote,$80k - $115k ,106,80,115,97.5
479,HERSHEY MX,1894,$5 to $10 billion (USD),10000+ Employees,Manufacturing,Data Science Co-Op (Fall 2023), TX,$58k - $95k ,129,58,95,76.5
480,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
481,Allianz US Life,1890,$10+ billion (USD),10000+ Employees,Financial Services,Analytics Consultant | Hybrid, TX,$78k - $121k ,133,78,121,99.5
482,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Staff Analytics Engineer, MA,$130k - $241k ,20,130,241,185.5
483,Intuit,1983,$10+ billion (USD),10000+ Employees,Information Technology,Data Engineer II (Mailchimp),Remote,$93k - $142k ,40,93,142,117.5
484,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,Telemedicine Operations Specialist, CA,$69k - $118k ,7,69,118,93.5
485,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", NY,$99k - $126k ,10,99,126,112.5
486,"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70k - $75k ,44,70,75,72.5
487,Blue Origin,2000,$5 to $25 million (USD),1001 to 5000 Employees,Aerospace & Defense,Data Engineer III, NY,$136k - $200k ,23,136,200,168.0
488,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, CA,$97k - $155k ,37,97,155,126.0
489,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, CA,$84k - $113k ,98,84,113,98.5
491,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", CA,$111k - $167k ,17,111,167,139.0
492,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, CA,$111k - $155k ,65,111,155,133.0
493,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, OH,$99k ,12,99,99,99.0
494,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, TX,$80k - $115k ,106,80,115,97.5
495,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, CA,$111k - $155k ,65,111,155,133.0
496,Corteva Agriscience,2019,Unknown / Non-Applicable,10000+ Employees,Agriculture,Data Engineer,Remote,$78k - $116k ,4,78,116,97.0
497,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, NY,$83k - $117k ,19,83,117,100.0
498,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics, CA,$100k - $135k ,47,100,135,117.5
499,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), CA,$57k - $90k ,19,57,90,73.5
500,Alston & Bird,1982,$500 million to $1 billion (USD),1001 to 5000 Employees,Legal,Data Scientist / Analytics Engineer, CA,$85k - $122k ,41,85,122,103.5
501,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, CA,$84k - $113k ,98,84,113,98.5
502,Allianz US Life,1890,$10+ billion (USD),10000+ Employees,Financial Services,Analytics Consultant | Hybrid, CA,$78k - $121k ,133,78,121,99.5
503,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer,Remote,$121k - $170k ,17,121,170,145.5
504,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant,Remote,$97k - $155k ,37,97,155,126.0
505,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, MA,$90k - $165k ,173,90,165,127.5
506,Sia Partners,1999,$100 to $500 million (USD),1001 to 5000 Employees,Management & Consulting,Data Science Consultant, CA,$94k - $122k ,24,94,122,108.0
507,"Analysis Group, Inc.",1981,$100 to $500 million (USD),1001 to 5000 Employees,Management & Consulting,Data Engineer, CA,$93k - $135k ,42,93,135,114.0
508,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis",Remote,$99k - $126k ,10,99,126,112.5
509,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", CA,$72k - $122k ,86,72,122,97.0
510,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Staff Analytics Engineer,Remote,$130k - $241k ,20,130,241,185.5
511,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", MA,$113k - $169k ,7,113,169,141.0
512,HERSHEY MX,1894,$5 to $10 billion (USD),10000+ Employees,Manufacturing,Data Science Co-Op (Fall 2023),Remote,$58k - $95k ,129,58,95,76.5
513,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
514,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), NC,$57k - $90k ,19,57,90,73.5
515,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", CA,$113k - $169k ,7,113,169,141.0
516,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", OH,$99k - $126k ,10,99,126,112.5
517,Tesla,2003,$1 to $5 billion (USD),10000+ Employees,Manufacturing,"AI Compiler Engineer, Autonomy - Palo Alto, CA",Remote,$99k - $158k ,20,99,158,128.5
518,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics, CA,$100k - $135k ,47,100,135,117.5
519,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", GA,$170k - $210k ,6,170,210,190.0
520,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, CA,$83k - $117k ,19,83,117,100.0
521,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer,Remote,$111k - $155k ,65,111,155,133.0
522,GSK,1830,$10+ billion (USD),10000+ Employees,Pharmaceutical & Biotechnology,AI/ML Engineer – Sequence Learning, NY,$59k - $100k ,193,59,100,79.5
523,Alston & Bird,1982,$500 million to $1 billion (USD),1001 to 5000 Employees,Legal,Data Scientist / Analytics Engineer, CA,$85k - $122k ,41,85,122,103.5
524,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,Telemedicine Operations Specialist, CA,$69k - $118k ,7,69,118,93.5
525,PGA Tour,1968,$500 million to $1 billion (USD),1001 to 5000 Employees,"Arts, Entertainment & Recreation",Data Analyst Experience Management, TX,$50k - $70k ,55,50,70,60.0
526,New York Life Insurance Co,1845,$10+ billion (USD),10000+ Employees,Insurance,"Data Analyst, Sr. Associate",Remote,$90k - $135k ,178,90,135,112.5
527,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, TX,$90k - $165k ,173,90,165,127.5
528,North Carolina State University,1887,$500 million to $1 billion (USD),1001 to 5000 Employees,Education,Data Science Education Postdoctoral Scholar,Remote,$70k ,136,70,70,70.0
529,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, FL,$80k - $115k ,106,80,115,97.5
530,Allianz US Life,1890,$10+ billion (USD),10000+ Employees,Financial Services,Analytics Consultant | Hybrid,Remote,$78k - $121k ,133,78,121,99.5
531,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, CA,$121k - $170k ,17,121,170,145.5
532,Silicon Labs Careers,1996,$500 million to $1 billion (USD),1001 to 5000 Employees,Manufacturing,Senior Data Analyst, GA,$91k - $127k ,27,91,127,109.0
533,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,Applied Data Scientist III, TX,$190k - $352k ,20,190,352,271.0
534,Ouva,2015,Unknown / Non-Applicable,1 to 50 Employees,Manufacturing,Senior Machine Learning Engineer, CA,$134k - $205k ,8,134,205,169.5
535,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
536,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), ME,$57k - $90k ,19,57,90,73.5
537,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, NY,$121k - $170k ,17,121,170,145.5
538,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, NY,$80k - $115k ,106,80,115,97.5
539,Tesla,2003,$1 to $5 billion (USD),10000+ Employees,Manufacturing,"AI Compiler Engineer, Autonomy - Palo Alto, CA", CA,$99k - $158k ,20,99,158,128.5
540,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics,Remote,$100k - $135k ,47,100,135,117.5
541,Alston & Bird,1982,$500 million to $1 billion (USD),1001 to 5000 Employees,Legal,Data Scientist / Analytics Engineer, PA,$85k - $122k ,41,85,122,103.5
542,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, MA,$83k - $117k ,19,83,117,100.0
543,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis",Remote,$99k - $126k ,10,99,126,112.5
544,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, CA,$90k - $165k ,173,90,165,127.5
545,Smith & Associates,1984,$1 to $5 billion (USD),501 to 1000 Employees,Information Technology,Junior AI/ML Engineer, CA,$43k - $64k ,39,43,64,53.5
546,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", CA,$72k - $122k ,86,72,122,97.0
547,Warner Bros. Discovery,2003,$10+ billion (USD),10000+ Employees,Media & Communication,"Executive Director, Data Science",Remote,$125k - $233k ,20,125,233,179.0
548,Allianz US Life,1890,$10+ billion (USD),10000+ Employees,Financial Services,Analytics Consultant | Hybrid,Remote,$78k - $121k ,133,78,121,99.5
549,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
550,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,Remote,$84k - $113k ,98,84,113,98.5
551,UBS,1862,$10+ billion (USD),10000+ Employees,Financial Services,Quantitative Analytics & Data Science Specialist, DC,$80k - $100k ,161,80,100,90.0
552,Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,"Manager, Data Science", TX,$204k - $294k ,9,204,294,249.0
553,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,Telemedicine Operations Specialist,Remote,$69k - $118k ,7,69,118,93.5
554,Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Senior Data Engineer, TX,$103k - $149k ,8,103,149,126.0
555,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", TX,$170k - $210k ,6,170,210,190.0
557,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, CA,$99k ,12,99,99,99.0
558,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, TX,$83k - $117k ,19,83,117,100.0
559,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), NY,$57k - $90k ,19,57,90,73.5
560,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, WA,$121k - $170k ,17,121,170,145.5
561,Allianz US Life,1890,$10+ billion (USD),10000+ Employees,Financial Services,Analytics Consultant | Hybrid, NY,$78k - $121k ,133,78,121,99.5
562,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer,Remote,$111k - $155k ,65,111,155,133.0
563,"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I, CA,$70k - $75k ,44,70,75,72.5
564,CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science, FL,$116k - $193k ,33,116,193,154.5
565,Nike,1972,$10+ billion (USD),10000+ Employees,Manufacturing,Data Engineer, CA,$95k - $135k ,51,95,135,115.0
566,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,Telemedicine Operations Specialist,Remote,$69k - $118k ,7,69,118,93.5
567,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, FL,$90k - $165k ,173,90,165,127.5
568,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
569,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics",Remote,$72k - $122k ,86,72,122,97.0
570,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis",Remote,$99k - $126k ,10,99,126,112.5
571,Tesla,2003,$1 to $5 billion (USD),10000+ Employees,Manufacturing,"AI Compiler Engineer, Autonomy - Palo Alto, CA", CA,$99k - $158k ,20,99,158,128.5
572,"The Travelers Companies, Inc.",1853,$10+ billion (USD),10000+ Employees,Insurance,"Data Engineer 1 (AWS, SQL, Python)", NC,$103k - $169k ,170,103,169,136.0
573,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", MA,$128k - $145k ,35,128,145,136.5
575,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer, CA,$76k - $111k ,173,76,111,93.5
576,Western Union,1851,$5 to $10 billion (USD),10000+ Employees,Financial Services,"Manager, Data Science",Remote,$100k - $176k ,172,100,176,138.0
577,GSK,1830,$10+ billion (USD),10000+ Employees,Pharmaceutical & Biotechnology,AI/ML Engineer – Sequence Learning, NY,$59k - $100k ,193,59,100,79.5
578,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", TX,$111k - $167k ,17,111,167,139.0
579,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, GA,$83k - $117k ,19,83,117,100.0
580,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, DC,$121k - $170k ,17,121,170,145.5
581,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, CA,$99k ,12,99,99,99.0
582,pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote),Remote,$75k - $120k ,8,75,120,97.5
583,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, TX,$111k - $155k ,65,111,155,133.0
584,Allianz US Life,1890,$10+ billion (USD),10000+ Employees,Financial Services,Analytics Consultant | Hybrid,Remote,$78k - $121k ,133,78,121,99.5
585,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),Remote,$57k - $90k ,19,57,90,73.5
586,Nike,1972,$10+ billion (USD),10000+ Employees,Manufacturing,Data Engineer, TX,$95k - $135k ,51,95,135,115.0
588,Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science),Remote,$103k - $151k ,205,103,151,127.0
589,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", CA,$72k - $122k ,86,72,122,97.0
590,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science,Remote,$90k - $165k ,173,90,165,127.5
591,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,Telemedicine Operations Specialist, CA,$69k - $118k ,7,69,118,93.5
592,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, CA,$80k - $115k ,106,80,115,97.5
593,Tesla,2003,$1 to $5 billion (USD),10000+ Employees,Manufacturing,"AI Compiler Engineer, Autonomy - Palo Alto, CA", TX,$99k - $158k ,20,99,158,128.5
594,"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70k - $75k ,44,70,75,72.5
595,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", CA,$111k - $167k ,17,111,167,139.0
596,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis",Remote,$99k - $126k ,10,99,126,112.5
597,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,Remote,$84k - $113k ,98,84,113,98.5
598,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", CA,$113k - $169k ,7,113,169,141.0
599,Abbott Laboratories,1888,$10+ billion (USD),10000+ Employees,Healthcare,"Director, Data Science & Advanced Analytics", AZ,$136k - $272k ,135,136,272,204.0
600,Coretelligent,2006,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Management Engineer (L3),Remote,$66k - $95k ,17,66,95,80.5
601,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", TX,$170k - $210k ,6,170,210,190.0
